Wall time,Step,Value
1515702556.54238,0,0.4333333671
1515702567.50933,1,0.2000000179
1515702578.14592,2,0.2666666806
1515702588.73308,3,0.2333333492
1515702600.10498,4,0.1333333403
1515702610.86576,5,0.2000000179
1515702621.45033,6,0.1333333403
1515702632.13388,7,0.2000000179
1515702642.8346,8,0.1333333403
1515702653.56641,9,0.1000000089
1515702664.34535,10,0.0666666701
1515702675.22543,11,0.1333333403
1515702686.06122,12,0.0666666701
1515702696.87663,13,0.1000000089
1515702707.51178,14,0.2000000179
1515702718.07832,15,0.1333333403
1515702728.78871,16,0.1000000089
1515702739.80677,17,0.1333333403
1515702750.6603,18,0.2000000179
1515702761.41174,19,0.2000000179
1515702771.9753,20,0.1000000089
1515702782.52704,21,0.0333333351
1515702793.2801,22,0.1666666865
1515702803.96302,23,0.0666666701
1515702814.68337,24,0.2333333492
1515702825.67631,25,0.1333333403
1515702836.39578,26,0.2666666806
1515702847.26208,27,0.1000000089
1515702857.87428,28,0.0333333351
1515702868.63372,29,0.1333333403
1515702879.75175,30,0.1000000089
1515702890.09483,31,0.0333333351
1515702900.39856,32,0.1333333403
1515702910.85398,33,0.0333333351
1515702921.28866,34,0.1333333403
1515702931.54563,35,0.1333333403
1515702941.88407,36,0.2000000179
1515702952.17984,37,0.1000000089
1515702962.43586,38,0.1000000089
1515702972.76536,39,0.1000000089
1515702983.05544,40,0.1000000089
1515702993.2812,41,0.0666666701
1515703003.54545,42,0.0333333351
1515703013.78832,43,0.0666666701
1515703024.02055,44,0.2000000179
1515703034.28268,45,0.1333333403
1515703044.57625,46,0.2666666806
1515703054.87214,47,0.1333333403
1515703065.14337,48,0.1000000089
1515703076.17145,49,0.1333333403
