Wall time,Step,Value,,,normalized,Wall time,Step,Value
1515700763,0,0.400000036,,,,1515702557,0,0.433333367
1515700767,1,0.300000012,,,,1515702568,1,0.200000018
1515700770,2,0.166666687,,,,1515702578,2,0.266666681
1515700773,3,0.200000018,,,,1515702589,3,0.233333349
1515700777,4,0.26666671,,,,1515702600,4,0.13333334
1515700780,5,0.06666667,,,,1515702611,5,0.200000018
1515700784,6,0.100000009,,,,1515702621,6,0.13333334
1515700788,7,0.300000012,,,,1515702632,7,0.200000018
1515700792,8,0.100000009,,,,1515702643,8,0.13333334
1515700795,9,0.166666687,,,,1515702654,9,0.100000009
1515700799,10,0.06666667,,,,1515702664,10,0.06666667
1515700803,11,0.100000009,,,,1515702675,11,0.13333334
1515700806,12,0.166666687,,,,1515702686,12,0.06666667
1515700809,13,0.13333334,,,,1515702697,13,0.100000009
1515700813,14,0.100000009,,,,1515702708,14,0.200000018
1515700816,15,0.033333335,,,,1515702718,15,0.13333334
1515700819,16,0.166666687,,,,1515702729,16,0.100000009
1515700823,17,0.13333334,,,,1515702740,17,0.13333334
1515700827,18,0.033333335,,,,1515702751,18,0.200000018
1515700830,19,0.100000009,,,,1515702761,19,0.200000018
1515700834,20,0.13333334,,,,1515702772,20,0.100000009
1515700837,21,0.06666667,,,,1515702783,21,0.033333335
1515700840,22,0.06666667,,,,1515702793,22,0.166666687
1515700844,23,0.033333335,,,,1515702804,23,0.06666667
1515700847,24,0.13333334,,,,1515702815,24,0.233333349
1515700850,25,0.100000009,,,,1515702826,25,0.13333334
1515700854,26,0.200000018,,,,1515702836,26,0.266666681
1515700857,27,0.100000009,,,,1515702847,27,0.100000009
1515700861,28,0.100000009,,,,1515702858,28,0.033333335
1515700864,29,0.033333335,,,,1515702869,29,0.13333334
1515700868,30,0.06666667,,,,1515702880,30,0.100000009
1515700872,31,0.100000009,,,,1515702890,31,0.033333335
1515700875,32,0.06666667,,,,1515702900,32,0.13333334
1515700878,33,0.13333334,,,,1515702911,33,0.033333335
1515700882,34,0.100000009,,,,1515702921,34,0.13333334
1515700885,35,0.166666687,,,,1515702932,35,0.13333334
1515700888,36,0.166666687,,,,1515702942,36,0.200000018
1515700892,37,0.13333334,,,,1515702952,37,0.100000009
1515700895,38,0.06666667,,,,1515702962,38,0.100000009
1515700899,39,0.06666667,,,,1515702973,39,0.100000009
1515700902,40,0.033333335,,,,1515702983,40,0.100000009
1515700906,41,0.06666667,,,,1515702993,41,0.06666667
1515700909,42,0.233333349,,,,1515703004,42,0.033333335
1515700913,43,0.033333335,,,,1515703014,43,0.06666667
1515700916,44,0.13333334,,,,1515703024,44,0.200000018
1515700919,45,0.100000009,,,,1515703034,45,0.13333334
1515700923,46,0.166666687,,,,1515703045,46,0.266666681
1515700926,47,0.033333335,,,,1515703055,47,0.13333334
1515700930,48,0.06666667,,,,1515703065,48,0.100000009
1515700933,49,0.200000018,,,,1515703076,49,0.13333334
