Wall time,Step,Value
1515702556.54225,0,1.1360110044
1515702567.50921,1,0.1440509558
1515702578.14578,2,0.0186871104
1515702588.73297,3,0.1927469969
1515702600.10487,4,0.0288793333
1515702610.86564,5,0.0422864258
1515702621.45022,6,0.0224456564
1515702632.13375,7,0.7043201923
1515702642.8345,8,0.0346499234
1515702653.56629,9,0.0019335964
1515702664.34524,10,0.0031934669
1515702675.22532,11,0.0004453789
1515702686.06111,12,8.40805005282164E-05
1515702696.87652,13,0.0011073748
1515702707.51171,14,0.0004767516
1515702718.07823,15,9.06155764823779E-05
1515702728.78859,16,0.0022013648
1515702739.80665,17,0.0002744162
1515702750.6602,18,0.0001306683
1515702761.41163,19,0.0052175727
1515702771.97518,20,3.0793384212302E-05
1515702782.52693,21,0.0002980169
1515702793.28,22,0.0008743933
1515702803.96291,23,0.0002507669
1515702814.68329,24,5.39498796570115E-05
1515702825.6762,25,2.64909232328137E-07
1515702836.39566,26,1.00665397440025E-06
1515702847.26197,27,0.0010059484
1515702857.87417,28,3.30978073179722E-05
1515702868.63365,29,7.41744713650405E-07
1515702879.75161,30,0.0001055226
1515702890.09472,31,0.0002946389
1515702900.39843,32,2.11927471127638E-07
1515702910.85387,33,0.0002991578
1515702921.28854,34,2.20118436118355E-05
1515702931.54556,35,2.42390615312615E-06
1515702941.88396,36,0.003418748
1515702952.17972,37,1.15761276902049E-05
1515702962.43576,38,1.61594277869881E-06
1515702972.76525,39,0.000006914
1515702983.05534,40,9.00676786841359E-06
1515702993.28113,41,1.19209225601935E-07
1515703003.54535,42,9.27183023691214E-08
1515703013.78821,43,2.51662618211412E-06
1515703024.02044,44,1.25831707009638E-06
1515703034.28258,45,0.000207803
1515703044.57613,46,0.0001565546
1515703054.87202,47,3.45539301633835E-05
1515703065.14326,48,3.77170508727431E-05
1515703076.17134,49,8.25162715045735E-06
