Wall time,Step,Value
1515767307.91919,0,0.4699475169
1515767312.09764,1,0.2886351943
1515767316.31205,2,0.2377690524
1515767320.61783,3,0.1972966045
1515767324.86953,4,0.1835958213
1515767329.11432,5,0.1611286253
1515767333.38249,6,0.1719422638
1515767337.60934,7,0.1876378059
1515767341.82498,8,0.1448293924
1515767346.06677,9,0.1527559161
1515767350.26401,10,0.1476640552
1515767354.4856,11,0.1546456665
1515767358.73335,12,0.133700788
1515767362.9934,13,0.1446981728
1515767367.16595,14,0.1435170621
1515767371.29239,15,0.1942257285
1515767375.51096,16,0.1404986978
1515767379.85919,17,0.142703414
1515767384.53206,18,0.1439107656
1515767388.78133,19,0.1327034235
1515767392.95194,20,0.1321522295
1515767397.38991,21,0.1345931739
1515767401.47689,22,0.133412078
1515767405.58906,23,0.1324146986
1515767410.12497,24,0.1321784854
1515767414.37063,25,0.1318897605
1515767418.62222,26,0.1321522295
1515767422.83797,27,0.1319160163
1515767427.03152,28,0.1316272914
1515767431.23073,29,0.1338582635
1515767435.326,30,0.1340157539
1515767439.49584,31,0.1330446154
1515767443.61648,32,0.1330183744
1515767447.67141,33,0.1339895129
1515767451.80908,34,0.1345669329
1515767455.94662,35,0.1346456707
1515767460.04155,36,0.1337795258
1515767464.10376,37,0.1346194297
1515767468.3298,38,0.1345144361
1515767472.56342,39,0.1364042014
1515767476.72367,40,0.1331758499
1515767480.93807,41,0.1322572231
1515767485.09076,42,0.1341469884
1515767489.20957,43,0.1322047263
1515767493.22821,44,0.1303149611
1515767497.32183,45,0.1304461956
1515767501.4329,46,0.1302624643
1515767505.61646,47,0.1301837265
1515767509.64718,48,0.1302887201
1515767513.76455,49,0.1304724365
