Wall time,Step,Value
1515767307.91919,0,0.0243166853
1515767312.09764,1,0.0065685264
1515767316.31205,2,0.0029511361
1515767320.61783,3,0.0019091734
1515767324.86953,4,0.0012172785
1515767329.11432,5,0.0008916563
1515767333.38249,6,0.0007450583
1515767337.60934,7,0.0006443804
1515767341.82498,8,0.0008018499
1515767346.06677,9,0.0004770443
1515767350.26401,10,0.0004246728
1515767354.4856,11,0.0004027116
1515767358.73335,12,0.0003687949
1515767362.9934,13,0.0003616671
1515767367.16595,14,0.0003641029
1515767371.29239,15,0.0003373213
1515767375.51096,16,0.0003815769
1515767379.85919,17,0.0003420354
1515767384.53206,18,0.0003450818
1515767388.78133,19,0.0003372245
1515767392.95194,20,0.0003223352
1515767397.38991,21,0.0003075087
1515767401.47689,22,0.0003006139
1515767405.58906,23,0.0002973542
1515767410.12497,24,0.0002946017
1515767414.37063,25,0.0002925222
1515767418.62222,26,0.0002905345
1515767422.83797,27,0.0002888642
1515767427.03152,28,0.0002872506
1515767431.23073,29,0.0002852098
1515767435.326,30,0.0002837986
1515767439.49584,31,0.0002821079
1515767443.61648,32,0.0002806001
1515767447.67141,33,0.0002787851
1515767451.80908,34,0.0002771742
1515767455.94662,35,0.0002759925
1515767460.04155,36,0.0002744597
1515767464.10376,37,0.0002729949
1515767468.3298,38,0.0002715761
1515767472.56342,39,0.000270257
1515767476.72367,40,0.0004164643
1515767480.93807,41,0.0003034559
1515767485.09076,42,0.0002870029
1515767489.20957,43,0.0002816501
1515767493.22821,44,0.0002757381
1515767497.32183,45,0.0002726032
1515767501.4329,46,0.0002706494
1515767505.61646,47,0.0002691658
1515767509.64718,48,0.0002674179
1515767513.76455,49,0.0002658686
