Wall time,Step,Value
1515769913.84458,0,0.5150918961
1515769929.81177,1,0.275826782
1515769946.22058,2,0.2182939798
1515769962.80473,3,0.2021259964
1515769979.51586,4,0.1713123471
1515769995.74642,5,0.1630446315
1515770011.72913,6,0.1649868935
1515770028.17764,7,0.1502099782
1515770044.31631,8,0.150262475
1515770060.22369,9,0.1361417323
1515770076.55865,10,0.1366141737
1515770092.54094,11,0.153359592
1515770108.98325,12,0.1375065595
1515770125.0509,13,0.1299474984
1515770140.88777,14,0.1307874024
1515770157.20306,15,0.1334120631
1515770172.99414,16,0.1348556429
1515770189.16571,17,0.1311023682
1515770205.20667,18,0.1276902854
1515770221.03958,19,0.1304199398
1515770237.44747,20,0.1543569565
1515770253.61435,21,0.1377952844
1515770269.44757,22,0.1298687607
1515770285.98629,23,0.1234908178
1515770301.93949,24,0.1279265136
1515770318.17921,25,0.1272703409
1515770334.32126,26,0.1283989549
1515770350.21892,27,0.1260629892
1515770366.25427,28,0.1276640445
1515770381.9664,29,0.1274540722
1515770397.95378,30,0.1255380511
1515770414.17716,31,0.1284514517
1515770430.29302,32,0.1272440851
1515770446.48099,33,0.1272965968
1515770462.29138,34,0.1288976371
1515770478.87874,35,0.1279002577
1515770495.16605,36,0.1283202171
1515770510.72789,37,0.1294488162
1515770526.59331,38,0.1289763749
1515770542.48658,39,0.1285301894
1515770558.88884,40,0.1288188994
1515770574.89111,41,0.1276378036
1515770590.75957,42,0.1303149611
1515770606.99522,43,0.128923893
1515770622.95774,44,0.1303149611
1515770638.88818,45,0.1301312298
1515770654.79753,46,0.1306036711
1515770670.56226,47,0.1301574707
1515770686.36473,48,0.1315747947
1515770701.86678,49,0.1312073469
