Wall time,Step,Value
1515769913.84458,0,0.0251140837
1515769929.81177,1,0.0066369409
1515769946.22058,2,0.0030800106
1515769962.80473,3,0.0019041894
1515769979.51586,4,0.0013339376
1515769995.74642,5,0.0010081669
1515770011.72913,6,0.000778614
1515770028.17764,7,0.0007411759
1515770044.31631,8,0.0005374692
1515770060.22369,9,0.000489655
1515770076.55865,10,0.0004618148
1515770092.54094,11,0.0004209401
1515770108.98325,12,0.0004322272
1515770125.0509,13,0.0003769046
1515770140.88777,14,0.0003416723
1515770157.20306,15,0.0003268815
1515770172.99414,16,0.000347392
1515770189.16571,17,0.0003306223
1515770205.20667,18,0.0003158532
1515770221.03958,19,0.0003080775
1515770237.44747,20,0.0003679325
1515770253.61435,21,0.0004132881
1515770269.44757,22,0.0003500514
1515770285.98629,23,0.000337632
1515770301.93949,24,0.0003147444
1515770318.17921,25,0.0003078294
1515770334.32126,26,0.000315592
1515770350.21892,27,0.0003032509
1515770366.25427,28,0.0003003515
1515770381.9664,29,0.0002980163
1515770397.95378,30,0.0002961947
1515770414.17716,31,0.0002944528
1515770430.29302,32,0.0002926139
1515770446.48099,33,0.0002907532
1515770462.29138,34,0.0002892381
1515770478.87874,35,0.0002874875
1515770495.16605,36,0.0002861239
1515770510.72789,37,0.0002845272
1515770526.59331,38,0.0002828347
1515770542.48658,39,0.0002814392
1515770558.88884,40,0.0002799025
1515770574.89111,41,0.0002785847
1515770590.75957,42,0.0002771444
1515770606.99522,43,0.0002757849
1515770622.95774,44,0.0002744406
1515770638.88818,45,0.000273105
1515770654.79753,46,0.0002719082
1515770670.56226,47,0.0002703051
1515770686.36473,48,0.0002691344
1515770701.86678,49,0.0002679727
