Wall time,Step,Value
1515700763.31979,0,0.9334649444
1515700766.51484,1,0.7297332287
1515700769.72923,2,0.0985198766
1515700773.42237,3,0.167302534
1515700776.80577,4,0.3616461158
1515700780.34118,5,0.1083895564
1515700784.48282,6,0.0154440291
1515700787.81724,7,0.0140608586
1515700791.86902,8,0.0034869048
1515700795.47119,9,0.0002255233
1515700798.85894,10,0.0223704968
1515700802.65371,11,0.169830218
1515700805.86655,12,0.0002348927
1515700809.13742,13,0.0016280971
1515700812.88642,14,0.2279723287
1515700816.12944,15,0.0083179818
1515700819.43265,16,0.0230532289
1515700823.22059,17,0.0013757697
1515700826.52574,18,0.0024761076
1515700829.75214,19,0.0007973451
1515700833.59202,20,0.0023276997
1515700836.9152,21,0.0001082781
1515700840.12402,22,5.1042101404164E-05
1515700843.81637,23,2.27820100917597E-06
1515700847.03127,24,0.0001722104
1515700850.37136,25,0.0002368478
1515700854.09571,26,0.000001457
1515700857.39888,27,0.000024753
1515700860.59525,28,0
1515700864.41338,29,2.66875031229574E-05
1515700867.80521,30,0.0002943071
1515700871.52209,31,0.0002596503
1515700874.89525,32,0.000164275
1515700878.125,33,0.0006876666
1515700881.81023,34,0.0012886095
1515700885.0182,35,4.7417975110875E-06
1515700888.24059,36,0.0001477247
1515700892.12638,37,1.40661886689486E-05
1515700895.34105,38,0.000209941
1515700898.5774,39,2.0144692825852E-05
1515700902.40446,40,2.84218804154079E-05
1515700905.6487,41,6.6227364925453E-08
1515700908.95044,42,0.0002086219
1515700912.63963,43,0.000560076
1515700915.79302,44,0.0001658348
1515700919.09994,45,2.35883308050688E-05
1515700922.93838,46,9.76558440015651E-05
1515700926.17298,47,0.0019857858
1515700929.51295,48,1.72047803062014E-05
1515700933.30203,49,8.0503334174864E-05
