Wall time,Step,Value
1515764098.75429,0,0.3395013511
1515764102.88498,1,0.1953543425
1515764107.10962,2,0.1464567035
1515764111.31264,3,0.1110498533
1515764115.47034,4,0.1148031354
1515764119.57676,5,0.1107611433
1515764123.73622,6,0.1169816181
1515764127.85798,7,0.1083464399
1515764131.9611,8,0.1035957858
1515764136.06634,9,0.1200787351
1515764140.21541,10,0.1074540541
1515764144.41576,11,0.1050131023
1515764148.59247,12,0.1027034
1515764152.6809,13,0.0997375175
1515764156.92256,14,0.1003936827
1515764161.13623,15,0.1012073234
1515764165.37301,16,0.0992388204
1515764169.61896,17,0.1004986688
1515764173.78742,18,0.1004724279
1515764177.976,19,0.1004461721
1515764182.14861,20,0.100314945
1515764186.27704,21,0.1001049727
1515764190.45719,22,0.1008661166
1515764194.63465,23,0.1001312211
1515764198.74457,24,0.0998687521
1515764202.86684,25,0.1005249172
1515764207.01588,26,0.1005511582
1515764211.14968,27,0.1012598276
1515764215.27825,28,0.1007086411
1515764219.39835,29,0.1012073383
1515764223.57868,30,0.1006561443
1515764227.73112,31,0.1010760963
1515764231.85109,32,0.101312317
1515764235.96814,33,0.1012598276
1515764240.11469,34,0.1185301766
1515764244.27042,35,0.1043831855
1515764248.40886,36,0.106771633
1515764252.56034,37,0.1000262201
1515764256.74056,38,0.0970341116
1515764260.87217,39,0.0981889516
1515764265.01786,40,0.0987926275
1515764269.13123,41,0.0981889591
1515764273.24558,42,0.0983726829
1515764277.36325,43,0.097664021
1515764281.43007,44,0.0984514207
1515764285.51271,45,0.0976115242
1515764289.62177,46,0.0986876413
1515764293.76714,47,0.0984776691
1515764297.89914,48,0.0991600826
1515764302.03444,49,0.0986614004
