Wall time,Step,Value,,Wall time,Step,Value,,,,Step,without whitening,with whitening,,
1515767308,0,0.469947517,,1515764099,0,0.339501351,,,,0,0.469947517,0.339501351,,
1515767312,1,0.288635194,,1515764103,1,0.195354343,,,,1,0.288635194,0.195354343,,
1515767316,2,0.237769052,,1515764107,2,0.146456704,,,,2,0.237769052,0.146456704,,
1515767321,3,0.197296605,,1515764111,3,0.111049853,,,,3,0.197296605,0.111049853,,
1515767325,4,0.183595821,,1515764115,4,0.114803135,,,,4,0.183595821,0.114803135,,
1515767329,5,0.161128625,,1515764120,5,0.110761143,,,,5,0.161128625,0.110761143,,
1515767333,6,0.171942264,,1515764124,6,0.116981618,,,,6,0.171942264,0.116981618,,
1515767338,7,0.187637806,,1515764128,7,0.10834644,,,,7,0.187637806,0.10834644,,
1515767342,8,0.144829392,,1515764132,8,0.103595786,,,,8,0.144829392,0.103595786,,
1515767346,9,0.152755916,,1515764136,9,0.120078735,,,,9,0.152755916,0.120078735,,
1515767350,10,0.147664055,,1515764140,10,0.107454054,,,,10,0.147664055,0.107454054,,
1515767354,11,0.154645667,,1515764144,11,0.105013102,,,,11,0.154645667,0.105013102,,
1515767359,12,0.133700788,,1515764149,12,0.1027034,,,,12,0.133700788,0.1027034,,
1515767363,13,0.144698173,,1515764153,13,0.099737518,,,,13,0.144698173,0.099737518,,
1515767367,14,0.143517062,,1515764157,14,0.100393683,,,,14,0.143517062,0.100393683,,
1515767371,15,0.194225729,,1515764161,15,0.101207323,,,,15,0.194225729,0.101207323,,
1515767376,16,0.140498698,,1515764165,16,0.09923882,,,,16,0.140498698,0.09923882,,
1515767380,17,0.142703414,,1515764170,17,0.100498669,,,,17,0.142703414,0.100498669,,
1515767385,18,0.143910766,,1515764174,18,0.100472428,,,,18,0.143910766,0.100472428,,
1515767389,19,0.132703424,,1515764178,19,0.100446172,,,,19,0.132703424,0.100446172,,
1515767393,20,0.13215223,,1515764182,20,0.100314945,,,,20,0.13215223,0.100314945,,
1515767397,21,0.134593174,,1515764186,21,0.100104973,,,,21,0.134593174,0.100104973,,
1515767401,22,0.133412078,,1515764190,22,0.100866117,,,,22,0.133412078,0.100866117,,
1515767406,23,0.132414699,,1515764195,23,0.100131221,,,,23,0.132414699,0.100131221,,
1515767410,24,0.132178485,,1515764199,24,0.099868752,,,,24,0.132178485,0.099868752,,
1515767414,25,0.131889761,,1515764203,25,0.100524917,,,,25,0.131889761,0.100524917,,
1515767419,26,0.13215223,,1515764207,26,0.100551158,,,,26,0.13215223,0.100551158,,
1515767423,27,0.131916016,,1515764211,27,0.101259828,,,,27,0.131916016,0.101259828,,
1515767427,28,0.131627291,,1515764215,28,0.100708641,,,,28,0.131627291,0.100708641,,
1515767431,29,0.133858264,,1515764219,29,0.101207338,,,,29,0.133858264,0.101207338,,
1515767435,30,0.134015754,,1515764224,30,0.100656144,,,,30,0.134015754,0.100656144,,
1515767439,31,0.133044615,,1515764228,31,0.101076096,,,,31,0.133044615,0.101076096,,
1515767444,32,0.133018374,,1515764232,32,0.101312317,,,,32,0.133018374,0.101312317,,
1515767448,33,0.133989513,,1515764236,33,0.101259828,,,,33,0.133989513,0.101259828,,
1515767452,34,0.134566933,,1515764240,34,0.118530177,,,,34,0.134566933,0.118530177,,
1515767456,35,0.134645671,,1515764244,35,0.104383186,,,,35,0.134645671,0.104383186,,
1515767460,36,0.133779526,,1515764248,36,0.106771633,,,,36,0.133779526,0.106771633,,
1515767464,37,0.13461943,,1515764253,37,0.10002622,,,,37,0.13461943,0.10002622,,
1515767468,38,0.134514436,,1515764257,38,0.097034112,,,,38,0.134514436,0.097034112,,
1515767473,39,0.136404201,,1515764261,39,0.098188952,,,,39,0.136404201,0.098188952,,
1515767477,40,0.13317585,,1515764265,40,0.098792628,,,,40,0.13317585,0.098792628,,
1515767481,41,0.132257223,,1515764269,41,0.098188959,,,,41,0.132257223,0.098188959,,
1515767485,42,0.134146988,,1515764273,42,0.098372683,,,,42,0.134146988,0.098372683,,
1515767489,43,0.132204726,,1515764277,43,0.097664021,,,,43,0.132204726,0.097664021,,
1515767493,44,0.130314961,,1515764281,44,0.098451421,,,,44,0.130314961,0.098451421,,
1515767497,45,0.130446196,,1515764286,45,0.097611524,,,,45,0.130446196,0.097611524,,
1515767501,46,0.130262464,,1515764290,46,0.098687641,,,,46,0.130262464,0.098687641,,
1515767506,47,0.130183727,,1515764294,47,0.098477669,,,,47,0.130183727,0.098477669,,
1515767510,48,0.13028872,,1515764298,48,0.099160083,,,,48,0.13028872,0.099160083,,
1515767514,49,0.130472437,,1515764302,49,0.0986614,,,,49,0.130472437,0.0986614,,90.13385996
