Wall time,Step,Value
1515764098.75429,0,0.0169301257
1515764102.88498,1,0.0027506207
1515764107.10962,2,0.0012964255
1515764111.31264,3,0.0007649458
1515764115.47034,4,0.0005582008
1515764119.57676,5,0.0004383056
1515764123.73622,6,0.0004064675
1515764127.85798,7,0.0003230197
1515764131.9611,8,0.0003453258
1515764136.06634,9,0.0003073257
1515764140.21541,10,0.0003047854
1515764144.41576,11,0.0002841531
1515764148.59247,12,0.0002604074
1515764152.6809,13,0.0002492863
1515764156.92256,14,0.0002454481
1515764161.13623,15,0.0002437573
1515764165.37301,16,0.0002411066
1515764169.61896,17,0.000239117
1515764173.78742,18,0.0002372775
1515764177.976,19,0.0002355154
1515764182.14861,20,0.000233641
1515764186.27704,21,0.0002323971
1515764190.45719,22,0.0002307767
1515764194.63465,23,0.0002296809
1515764198.74457,24,0.0002279535
1515764202.86684,25,0.0002266516
1515764207.01588,26,0.0002253642
1515764211.14968,27,0.0002240505
1515764215.27825,28,0.0002228075
1515764219.39835,29,0.0002215721
1515764223.57868,30,0.0002202949
1515764227.73112,31,0.000219009
1515764231.85109,32,0.0002179526
1515764235.96814,33,0.0002166143
1515764240.11469,34,0.0002863494
1515764244.27042,35,0.0002535296
1515764248.40886,36,0.0002362525
1515764252.56034,37,0.0002315501
1515764256.74056,38,0.0002207767
1515764260.87217,39,0.0002179464
1515764265.01786,40,0.0002162064
1515764269.13123,41,0.000214701
1515764273.24558,42,0.000213545
1515764277.36325,43,0.0002121378
1515764281.43007,44,0.0002107896
1515764285.51271,45,0.0002096505
1515764289.62177,46,0.0002083755
1515764293.76714,47,0.0002072252
1515764297.89914,48,0.0002060621
1515764302.03444,49,0.0002048592
